time(sec),GPU0_L0,GPU0_L1,GPU0_L2,GPU0_L3
1.786048,0,0,0,0
1.787794,0,0,0,0
1.789520,0,0,0,0
1.791263,0,0,0,0
1.793059,0,0,0,0
1.794816,0,0,0,0
1.796543,0,0,0,0
1.798291,0,0,0,0
1.800019,0,0,0,0
1.801748,0,0,0,0
1.803533,0,0,0,0
1.805259,0,0,0,0
1.807006,0,0,0,0
1.808736,0,0,0,0
1.810472,0,0,0,0
1.812200,0,0,0,0
1.813975,0,0,0,0
1.815724,0,0,0,0
1.817451,0,0,0,0
1.819220,0,0,0,0
1.820949,0,0,0,0
1.822689,0,0,0,0
1.824417,0,0,0,0
1.826155,0,0,0,0
1.827904,0,0,0,0
1.829633,0,0,0,0
1.831376,0,0,0,0
1.833175,0,0,0,0
1.834935,0,0,0,0
1.836675,0,0,0,0
1.838413,0,0,0,0
1.840142,0,0,0,0
1.841885,0,0,0,0
1.843614,0,0,0,0
1.845343,0,0,0,0
1.847085,0,0,0,0
1.848825,0,0,0,0
1.850564,0,0,0,0
1.852294,0,0,0,0
1.854098,0,0,0,0
1.855850,0,0,0,0
1.857578,0,0,0,0
1.859316,0,0,0,0
1.861047,0,0,0,0
1.862787,0,0,0,0
1.864515,0,0,0,0
1.866258,0,0,0,0
1.868003,0,0,0,0
1.869730,0,0,0,0
1.871460,0,0,0,0
